PTerm:,PRef,3680,38.72 %
PTerm:,PApp,2443,25.71 %
PTerm:,PPi,1145,12.05 %
PClause:,PClauses,736,7.74 %
PTerm:,PTy,542,5.7 %
PTerm:,PConstant,368,3.87 %
PDecl:,PImplementation,150,1.58 %
PTerm:,PRewrite,60,0.63 %
PDecl:,PDirective,50,0.53 %
PTerm:,PPair,50,0.53 %
PTerm:,Placeholder,46,0.48 %
PTerm:,PCase,33,0.35 %
PTerm:,PLet,30,0.32 %
PDecl:,PData,26,0.27 %
PDecl:,PInterface,22,0.23 %
PClause:,PWith,20,0.21 %
PTerm:,PImpossible,19,0.2 %
PDecl:,PFix,17,0.18 %
PTerm:,PType,17,0.18 %
PTerm:,PAlternative,16,0.17 %
PTerm:,PConstSugar,16,0.17 %
PTerm:,PLam,12,0.13 %
PDecl:,PNamespace,3,0.03 %
PDecl:,PRecord,2,0.02 %
